"location","population","HighestInfectionCount","PercentPopulationInfected"
"Cyprus","896007","691252","77.1500"
"Brunei","449002","344797","76.7900"
"San Marino","33690","25292","75.0700"
"Austria","8939617","6082354","68.0400"
"South Korea","51815808","34571873","66.7200"
"Faeroe Islands","53117","34658","65.2500"
"Slovenia","2119843","1355980","63.9700"
"Gibraltar","32677","20550","62.8900"
"Martinique","367512","230354","62.6800"
"Luxembourg","647601","391583","60.4700"
"Andorra","79843","48015","60.1400"
"Jersey","110796","66391","59.9200"
"Denmark","5882259","3435018","58.4000"
"Saint Pierre and Miquelon","5885","3426","58.2200"
"France","67813000","38997490","57.5100"
"Iceland","372903","210013","56.3200"
"Guernsey","63329","35326","55.7800"
"Niue","1952","1074","55.0200"
"Portugal","10270857","5647610","54.9900"
"Liechtenstein","39355","21577","54.8300"
"Greece","10384972","5639130","54.3000"
"Singapore","5637022","3006155","53.3300"
"Latvia","1850654","977765","52.8300"
"Guadeloupe","395762","203235","51.3500"
"Israel","9449000","4841558","51.2400"
"Switzerland","8740471","4454498","50.9600"
"Reunion","974062","494595","50.7800"
"Falkland Islands","3801","1923","50.5900"
"New Zealand","5185289","2609853","50.3300"
"Saint Barthelemy","10994","5507","50.0900"
"Georgia","3744385","1863101","49.7600"
"Lithuania","2750058","1366695","49.7000"
"Netherlands","17564020","8636638","49.1700"
"Seychelles","107135","51770","48.3200"
"Bahrain","1472237","696614","47.3200"
"Monaco","36491","17181","47.0800"
"Germany","83369840","38437756","46.1100"
"Estonia","1326064","610471","46.0400"
"Cayman Islands","68722","31472","45.8000"
"Czechia","10493990","4759657","45.3600"
"Australia","26177410","11861161","45.3100"
"Italy","59037472","26727144","45.2700"
"Isle of Man","84534","38008","44.9600"
"Bonaire Sint Eustatius and Saba","27052","11922","44.0700"
"Cook Islands","17032","7326","43.0100"
"Nauru","12691","5393","42.4900"
"Belgium","11655923","4863063","41.7200"
"Aruba","106459","44224","41.5400"
"European Union","450146793","185658959","41.2400"
"Saint Helena","5401","2166","40.1000"
"Montenegro","627082","251280","40.0700"
"Barbados","281646","110786","39.3400"
"Marshall Islands","41593","16248","39.0600"
"Saint Martin (French part)","31816","12324","38.7400"
"Puerto Rico","3252412","1252713","38.5200"
"Serbia","6871547","2583470","37.6000"
"United Kingdom","67508936","24938095","36.9400"
"Maldives","523798","186694","35.6400"
"Palau","18084","6366","35.2000"
"Ireland","5023108","1737848","34.6000"
"High income","1250514600","428715043","34.2800"
"Europe","744807803","252653975","33.9200"
"Slovakia","5643455","1877778","33.2700"
"Oceania","45038860","14968480","33.2300"
"Croatia","4030361","1317144","32.6800"
"Wallis and Futuna","11596","3760","32.4200"
"French Guiana","304568","98041","32.1900"
"Montserrat","4413","1403","31.7900"
"United States","338289856","103436829","30.5800"
"Guam","171783","52287","30.4400"
"Uruguay","3422796","1041263","30.4200"
"Mongolia","3398373","1011489","29.7600"
"Northern Mariana Islands","49574","14702","29.6600"
"Spain","47558632","13980340","29.4000"
"Bermuda","64207","18860","29.3700"
"Norway","5434324","1508232","27.7500"
"New Caledonia","289959","80163","27.6500"
"Chile","19603736","5400569","27.5500"
"Japan","123951696","33803572","27.2700"
"Finland","5540745","1499712","27.0700"
"Sweden","10549349","2752383","26.0900"
"Tuvalu","11335","2943","25.9600"
"French Polynesia","306292","79309","25.8900"
"United States Virgin Islands","99479","25389","25.5200"
"Mauritius","1299478","327305","25.1900"
"Sint Maarten (Dutch part)","44192","11051","25.0100"
"Anguilla","15877","3904","24.5900"
"Curacao","191173","45883","24.0000"
"British Virgin Islands","31332","7478","23.8700"
"Costa Rica","5180836","1230653","23.7500"
"Panama","4408582","1044375","23.6900"
"Micronesia (country)","114178","26547","23.2500"
"Malta","533293","121552","22.7900"
"Lebanon","5489744","1239904","22.5900"
"Hungary","9967304","2230444","22.3800"
"Argentina","45510324","10132689","22.2600"
"Dominica","72758","16047","22.0600"
"Greenland","56494","11971","21.1900"
"North America","600323657","124567391","20.7500"
"Turkey","85341248","17004714","19.9300"
"Bulgaria","6781955","1329381","19.6000"
"Moldova","3272993","635728","19.4200"
"Qatar","2695131","514524","19.0900"
"American Samoa","44295","8359","18.8700"
"Romania","19659270","3529446","17.9500"
"Belize","405285","71409","17.6200"
"Brazil","215313504","37511921","17.4200"
"Saint Lucia","179872","30257","16.8200"
"North Macedonia","2093606","350606","16.7500"
"Russia","144713312","24217291","16.7300"
"Poland","39857144","6663325","16.7200"
"Armenia","2780472","451944","16.2500"
"Tonga","106867","16966","15.8800"
"South America","436816679","68831052","15.7600"
"Grenada","125459","19693","15.7000"
"Kuwait","4268886","667290","15.6300"
"Malaysia","33938216","5288841","15.5800"
"Jordan","11285875","1746997","15.4800"
"Kosovo","1782115","274279","15.3900"
"Turks and Caicos Islands","45726","6754","14.7700"
"Ukraine","39701744","5531772","13.9300"
"Saint Kitts and Nevis","47681","6607","13.8600"
"Palestine","5250076","703228","13.3900"
"Suriname","618046","82497","13.3500"
"Peru","34049588","4524748","13.2900"
"Mayotte","326113","42027","12.8900"
"Botswana","2630300","330650","12.5700"
"Canada","38454328","4812623","12.5200"
"Trinidad and Tobago","1531043","191496","12.5100"
"Bosnia and Herzegovina","3233530","403644","12.4800"
"Colombia","51874028","6386212","12.3100"
"Vietnam","98186856","11624000","11.8400"
"Albania","2842318","335047","11.7900"
"United Arab Emirates","9441138","1067030","11.3000"
"Cape Verde","593162","64474","10.8700"
"Paraguay","6780745","735759","10.8500"
"Belarus","9534956","994037","10.4300"
"Cuba","11212198","1113662","9.9300"
"Bolivia","12224114","1212144","9.9200"
"Upper middle income","2525921300","245812292","9.7300"
